L2,L4,L4,L2,L4
H4,L4,L5,H4,H1
H4,L5,L5,L3,L3
K,H4,H2,H1,H3
L1,L4,L3,L5,K
L5,L3,L5,L4,L3
K,L4,L5,L2,L4
L3,L2,L5,H1,L3
L1,L5,L3,L5,H1
H3,L2,L5,L2,L5
L3,L2,H4,H3,L4
L2,H2,L3,H2,H1
H2,H2,L3,L2,L1
L3,H4,L4,L2,L4
L2,L4,L1,L3,L1
L2,L1,H1,L3,H4
L2,L4,L5,L3,H2
H4,L1,L2,L4,L1
L5,L5,L4,W,L2
L1,L2,H3,H2,H3
H2,H1,H3,L5,H4
L1,L1,H4,L4,L3
L4,L4,L2,L3,H3
H1,L1,L2,L3,H4
L5,H3,L4,L5,L1
L4,L3,L4,H2,L2
L5,L3,L2,L3,H3
L1,L3,L3,L1,H4
L5,L3,L3,L4,K
L1,K,H4,L5,L4
L4,L1,L2,H4,L4
H1,H2,L4,H4,H4
L3,H4,L2,L3,L4
L4,H4,L1,L4,L5
W,L2,H4,L2,L4
L4,L2,L5,L4,L5
L2,L4,H2,L4,L5
L3,L4,H3,L5,L3
L5,L4,L5,H4,K
L4,L5,L4,H3,H4
L5,L3,K,L1,L3
L1,H2,W,H2,L5
L5,H2,H4,L5,H2
L4,L3,L4,H2,L5
H2,L2,L4,L5,H4
L5,L2,L3,L1,L3
L1,L2,H3,L4,L1
L3,H3,L1,H4,L3
L4,H4,L2,L1,L5
L4,L2,L4,L5,L1
H2,L5,H1,L5,H3
H3,W,H4,H4,L5
L4,H3,L1,L3,H4
L5,L1,L4,H4,W
L5,L2,L3,H4,L2
L5,H4,L5,L1,H3
L1,K,L3,L1,L4
L5,L3,H2,L2,L5
L4,L4,L2,L4,L5
L5,L5,L5,L4,H4
L2,L2,L5,L5,L2
L3,L2,L4,L1,H2
L2,L1,L2,L2,H3
L3,L5,H3,L1,H4
L2,H2,L1,L3,L5
H3,L1,L1,H2,H2
L2,L4,L3,L3,H1
L4,L3,H2,L1,H2
H1,L1,L4,L3,L5
H2,H2,L5,W,L3
H4,H2,L1,K,L2
H4,L4,L2,H1,L3
H2,L4,L4,L5,L2
H2,H3,K,H3,L4
L1,L2,L2,L2,L4
L5,L3,L3,L2,H2
L5,L3,L3,H4,L2
L3,L3,L2,H4,W
L1,L3,L3,H1,L2
H1,H4,H1,L5,L5
H4,L5,H4,L3,L1
L4,L5,L4,H3,L4
L3,W,H4,L5,L1
L5,L2,H3,L2,L5
L2,L4,H2,H4,L3
L4,L3,L4,L2,H2
H3,L4,L4,H1,H3
L3,L1,L5,H1,H4
W,L1,W,K,L4
H4,L4,L4,H3,H2
L3,L5,L2,L2,L4
L2,H3,L2,L5,L5
H2,L4,H4,H3,L2
L3,L3,L5,L5,L1
L3,H4,H3,L2,L2
H1,L5,H2,L4,H1
H4,H3,L1,H3,L4
L4,H1,L1,L5,L3
H4,L4,L3,L3,H4
H3,L5,L1,L1,L5
H4,L2,L5,L4,L1
L4,L5,L3,L3,L2
L3,H3,H3,L1,L2
L3,L5,L5,L2,L4
L5,L4,H1,L5,L2
L3,L2,H3,L4,L1
H3,L5,L5,L2,L2
L5,H1,L3,L1,L3
L1,L1,H4,L1,L2
L2,H1,H1,L4,L5
H3,H4,L5,H3,H1
L3,L5,L2,L1,L1
K,H3,L1,H4,L4
H4,H3,L3,H2,L4
L1,L3,L3,L2,L4
L5,H1,K,L4,L5
L2,L1,L5,L5,H3
L5,L5,L1,L3,L5
L4,L1,H3,L4,L5
L2,L2,L1,L4,L2
H4,L1,L2,L1,L3
H3,H1,L1,L3,L5
H3,L3,L4,K,L1
L3,L1,L1,L3,L2
L1,L3,H4,L5,L3
H1,H3,H1,L4,L3
L1,L5,H2,H2,L5
L4,H4,L5,L3,L3
L1,H4,L3,L4,L1
L3,L3,L1,L2,L3
L5,H4,H4,L5,H3
L4,L3,L4,L1,L3
L2,L5,L2,L4,L1
H3,L5,H2,L5,L3
L2,L5,L5,L3,L4
L2,L5,L2,H3,L2
L4,K,L3,H3,L1
